price,product_name,rating
"20,990","Vivo S1 Pro (Mystic Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars
589,"Vruta Landline Caller ID Phone Telephone Corded Phone for Office and Home Purpose Bfone Orientel KX-T555CID,Assorted Colour",3.5 out of 5 stars
"311,.,227,.",How to Break Up With Your Phone: The 30-Day Plan to Take Back Your Life: The 3 -Day Plan to Take Back Your Life,4.6 out of 5 stars
"18,700","(Renewed) Samsung Galaxy A31 (Prism Crush Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",
"15,899","Samsung Galaxy A30s (Prism Crush Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars
"9,990","Vivo Y11 (Mineral Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",4.2 out of 5 stars
"20,990","Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars
299,"MAGBOT Magnetic Wireless Bluetooth Headphone Earbuds Earphones Hands-Free Mic for Sports, Running, Gyming Headset Compatible with All Android Phone and iOS (Metal)",
"9,080","Panasonic Eluga I8 (3GB RAM, 32GB Storage) (Charcoal Black)",4.0 out of 5 stars
"15,999","Samsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB Storage)",4.2 out of 5 stars
"10,999","Nokia 3.2 (Black, 3GB RAM, 32GB Storage)",3.6 out of 5 stars
"9,990","OPPO A12 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",3.8 out of 5 stars
"17,999","Samsung Galaxy M30 (Gradation Black, 6+128 GB)",4.1 out of 5 stars
"20,990","Vivo S1 Pro (Jazzy Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars
"16,499","Samsung Galaxy M31 (Space Black, 6GB RAM, 64GB Storage)",4.3 out of 5 stars
"13,999","Honor 9X (Sapphire Blue, 4+128GB Storage)-Pop up Front Camera & 48MP Triple Rear Camera",3.9 out of 5 stars
"14,999","Xiaomi Mi A3 (Kind of Grey, 6GB RAM, 128GB Storage)",4.0 out of 5 stars
"21,999","Samsung Galaxy A31 (Prism Crush Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",3.4 out of 5 stars
"19,990","Huawei Y9s (Midnight Black, 6GB RAM, 128GB Storage)",3.5 out of 5 stars
,Stri,
"9,990","Vivo Y11 (Agate Red, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",4.2 out of 5 stars
"8,885","Nokia 3.2 (Black, 2GB RAM, 16GB Storage)",3.7 out of 5 stars
"16,999","Redmi Note 9 Pro (Glacier White, 6GB RAM, 128GB Storage) - Latest Snapdragon 720G & Gorilla Glass 5 Protection",3.8 out of 5 stars
"10,999","Samsung Galaxy M11 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",3.4 out of 5 stars
"16,499","Samsung Galaxy A21s (Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",2.6 out of 5 stars
,"LG W10 (Smoky Gray, 3GB RAM, 32GB Storage)",3.3 out of 5 stars
"328,250,.,350","Cell Phone Nation: How Mobile Phones have Revolutionized Business, Politics and Ordinary Life in India",4.7 out of 5 stars
"6,299","Samsung Galaxy J2 Core (Blue, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers",3.7 out of 5 stars
"24,990","Vivo V17 (Glacier Ice, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.4 out of 5 stars
"16,999","Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage)",4.2 out of 5 stars
,"OPPO Reno2 F (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.3 out of 5 stars
"15,899","Samsung Galaxy A30s (Prism Crush White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars
