Battery_Power_Rating,OS,Product_Dimensions,RAM,camera,price,product_name,values
Blaze Blue,Android,16.2 x 0.9 x 7.6 cm,4 GB,1080 x 2340,"₹ 12,990.00","Vivo U20 (Blazing Blue, Snapdragon 675 AIE, 4GB RAM, 64GB Storage)","Android,4 GB,195 g,16.2 x 0.9 x 7.6 cm,1 Lithium ion batteries required. (included),vivo 1921,Bluetooth, WiFi Hotspot,2G, GSM, (B2/3/5/8), 3G, WCDMA, (B1/5/8), 4G, FDD_LTE, (B1/3/5/8), TDD_LTE, (B38/40/41),Dual SIM, GPS, Music Player, Video Player, Accelerometer, Ambient light sensor, Proximity sensor, e-Compass, Virtual gyroscope, Fingerprint,IPS LCD capacitive touchscreen, 16M colors,19.5:9 ratio (~395 ppi density),1080 x 2340,8MP,Touchscreen Phone,195 Grams,Blaze Blue,5000,Handset, User Manual, MicroUSB to USB Cable, USB Power, Adapter, SIM Ejector Pin and Protective Case"
4000,Android,15.7 x 0.9 x 7.4 cm,6 GB,13 MP,"₹ 24,999.00","Redmi K20 Pro (Pearl White, 6GB RAM, 128GB Storage) -12 Month No Cost EMI","Android,6 GB,191 g,15.7 x 0.9 x 7.4 cm,1 Lithium Polymer batteries required. (included),Redmi K20 Pro,Bluetooth, WiFi Hotspot,Bluetooth v5.0, 802.11 a/b/g/n/ac (2x2 MiMo) wifi version, GPS/AGPS, GLONASS, Micro USB 2.0 OTG, Network: 2G, 3G,4G VOLTE,Dual SIM, GPS, Music Player, Video Player, FM Radio, Gyroscope, Infrared, Proximity, Accelerometer, Ambient light sensor, E compass, In-display Fingerprint Sensor, E-mail,Yes Capacitive Touchscreen, Multi-touch,Corning Gorilla Glass v5,Pixel Density 403 ppi,Aspect Ratio 19.5:9,13 MP,Touchscreen Phone,191 Grams,Pearl White,4000,Handset, Adapter, USB cable, warranty card, user guide, SIM insertion tool, Back cover"
5000,Android,16.2 x 0.9 x 7.6 cm,4 GB,8MP,"₹ 14,990.00","Vivo Y19 (Magnetic Black, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,4 GB,195 g,16.2 x 0.9 x 7.6 cm,1 Lithium Polymer batteries required. (included),vivo 1915,Bluetooth, WiFi Hotspot,2G, GSM, (B2/3/5/8), 3G, WCDMA, (B1/5/8), 4G, TDD_LTE, (B38/40/41), FDD_LTE, (B1/3/5/8),Dual SIM, GPS, Music Player, Video Player, Accelerometer, Ambient light sensor, Proximity sensor, e-Compass, Virtual gyroscope, Fingerprint,IPS LCD capacitive touchscreen, 16M colors, 19.5:9 ratio (~395 ppi density),8MP,Touchscreen Phone,195 Grams,Magnetic Black,5000,34 Hours,Handset, USB Cable, USB Power Adapter, SIM Ejector, Protective Case and Protective Film (applied)"
4000,Android 9.0,16.3 x 0.9 x 7.6 cm,8 GB,8MP,"₹ 42,999.00","OnePlus 7 Pro (Mirror Grey, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 4000mAH Battery)","Android 9.0,8 GB,204 g,16.3 x 0.9 x 7.6 cm,1 Lithium ion batteries required. (included),GM1911,Bluetooth;WiFi Hotspot,4G;FDD;LTE;(B1/2/3/4/5/7/8/12/13/17/18/19/20/25/26/28/29/32/66);TDD-LTE;(B34/38/39/40/41);TDS;(B34/39);UMTS;(B1/2/4/5/8/9/19);CDMA;(BC0/BC1);GSM;(B2/3/5/8),Dual Sim, Front Camera, Touchscreen, USB, In-display Fingerprint sensor, Accelerometer, Electronic compass, Gyroscope, Ambient light sensor, Proximity sensor, Sensor core, Laser sensor,pixel density of 515 PPI and Aspect Ratio  19.5:9,8MP,Touchscreen Phone,204 Grams,Mirror Grey,4000,Handset, Power Adapter, Type-C Cable (Support USB 2.0), Quick Start Guide, Welcome Letter, Safety Information and Warranty Card, Logo Sticker, Case, Screen Protector (pre-applied) and SIM Tray Ejector"
4000,Android,16.4 x 0.9 x 7.7 cm,6 GB,16MP,"₹ 16,999.00","Honor 9X (Sapphire Blue, 6+128GB Storage) -Pop up Front Camera & 48MP Triple Rear Camera","Android,6 GB,195 g,16.4 x 0.9 x 7.7 cm,1 Lithium Polymer batteries required. (included),STK-L22,Bluetooth, WiFi Hotspot,4G LTE TDD: B38/40/41, 4G LTE FDD: B1/B3/B5/B7/B8/B28, 3G UMTS: B1/5/8, 2G GSM: B2/3/5/8,Dual SIM,2340 x 1080,16MP,Touchscreen Phone,195 Grams,Sapphire Blue,4000,Handset, Charger, USB cable(Type C), Quick Start Guide, Warranty Card, Eject tool, TPU Protective case"
"Handset, Earphones, Type-C to USB Cable, USB Power Adapter, SIM Ejector, Protective Case, Protective Film (applied), User manual",Android,15.9 x 0.9 x 7.4 cm,8 GB,Touchscreen Phone,"₹ 24,990.00","Vivo V17 (Glacier Ice, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,8 GB,177 g,15.9 x 0.9 x 7.4 cm,vivo 1919,Bluetooth;WiFi Hotspot,2G;GSM;(B2/3/5/8);3G;WCDMA;(B1/5/8);4G;FDD-LTE;(B1/3/5/8);TDD-LTE;(B38/B39/40/41),Dual SIM, GPS, Music Player, Video Player, In-Display fingerprint scanning, Accelerometer, Ambient light sensor, Proximity sensor, e-Compass, Virtual gyroscope,Super AMOLED capacitive touchscreen, 16M colors, 19.5:9 ratio (~404 ppi density),8MP,Touchscreen Phone,177 Grams,Glacier Ice,4500,Handset, Earphones, Type-C to USB Cable, USB Power Adapter, SIM Ejector, Protective Case, Protective Film (applied), User manual"
Blaze Blue,Android,16.2 x 0.9 x 7.6 cm,6 GB,1080 x 2340,"₹ 13,990.00","Vivo U20 (Blazing Blue, Snapdragon 675 AIE, 6GB RAM, 64GB","Android,6 GB,195 g,16.2 x 0.9 x 7.6 cm,1 Lithium ion batteries required. (included),vivo 1921,Bluetooth, WiFi Hotspot,2G, GSM, (B2/3/5/8), 3G, WCDMA, (B1/5/8), 4G, FDD_LTE, (B1/3/5/8), TDD_LTE, (B38/40/41),Dual SIM, GPS, Music Player, Video Player, Accelerometer, Ambient light sensor, Proximity sensor, e-Compass, Virtual gyroscope, Fingerprint,IPS LCD capacitive touchscreen, 16M colors,19.5:9 ratio (~395 ppi density),1080 x 2340,8MP,Touchscreen Phone,195 Grams,Blaze Blue,5000,Handset, User Manual, MicroUSB to USB Cable, USB Power, Adapter, SIM Ejector Pin and Protective Case"
4000,Android,15.7 x 0.9 x 7.4 cm,6 GB,13 MP,"₹ 24,999.00","Redmi K20 Pro (Glacier Blue, 6GB RAM, 128GB Storage) -12 Month No Cost EMI","Android,6 GB,191 g,15.7 x 0.9 x 7.4 cm,1 Lithium Polymer batteries required. (included),Redmi K20 Pro,Bluetooth, WiFi Hotspot,Bluetooth v5.0, 802.11 a/b/g/n/ac (2x2 MiMo) wifi version, GPS/AGPS, GLONASS, Micro USB 2.0 OTG, Network: 2G, 3G,4G VOLTE,Dual SIM, GPS, Music Player, Video Player, FM Radio, Gyroscope, Infrared, Proximity, Accelerometer, Ambient light sensor, E compass, In-display Fingerprint Sensor, E-mail,Yes Capacitive Touchscreen, Multi-touch,Corning Gorilla Glass v5,Pixel Density 403 ppi,Aspect Ratio 19.5:9,13 MP,Touchscreen Phone,191 Grams,Glacier Blue,4000,Handset, Adapter, USB cable, warranty card, user guide, SIM insertion tool, Back cover"
"Handset, (Non-removable Battery Included), Travel Adapter, USB Cable, Ejection Pin, User Manual",Android,15.9 x 0.9 x 7.5 cm,6 GB,Touchscreen Phone,"₹ 17,499.00","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","Android,6 GB,191 g,15.9 x 0.9 x 7.5 cm,SM-M315FZKGINS,Bluetooth;WiFi Hotspot,2G GSM,3G WCDMA,4G LTE FDD,4G LTE TDD,Dual SIM;GPS;Music Player;Video Player;FM Radio;Accelerometer;Fingerprint Sensor;Gyro Sensor;Geomagnetic Sensor;Proximity Sensor;E-mail,Super AMOLED capacitive touchscreen, 16M colors,1080 x 2400 pixels, 20:9 ratio (~411 ppi density),8MP,Touchscreen Phone,191 Grams,Black,6000,Handset, (Non-removable Battery Included), Travel Adapter, USB Cable, Ejection Pin, User Manual"
Black,Android 9,15.6 x 0.8 x 7.6 cm,3 GB,1520*720,"₹ 9,990.00","OPPO A12 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","Android 9,3 GB,163 g,15.6 x 0.8 x 7.6 cm,1 Lithium Polymer batteries required. (included),CPH2083,Bluetooth, WiFi Hotspot,GPRS, EDGE, HSPA+, WCDMA, 4G, TD-LTE, LTE FDD,Dual SIM, GPS, Music Player, Video Player,IPS LCD capacitive touchscreen, 16M colors,~276 ppi density,1520*720,2MP,Touchscreen Phone,163 Grams,Black,4230,35 Hours,450 Hours,Handset, USB Cable, Adapter, Sim Tray Ejector, Protective Case, Booklet with Warranty Card and Quick Guide"
